Year,Course,Round,Hole,Par,Avg_Score,Eagles,Birdies,Pars,Bogeys,Doubles,Pin_X_Normalized,Pin_Y_Normalized
2024,Pebble Beach Golf Links,1,14,5,4.45,0,22,18,0,0,0.5710143512829484,0.4289856487170516
2024,Pebble Beach Golf Links,1,15,4,4.0,0,6,28,6,0,0.5349253701948458,0.46507462980515424
2024,Pebble Beach Golf Links,1,16,4,4.05,0,6,26,8,0,0.5653366612014818,0.43466333879851815
2024,Pebble Beach Golf Links,1,17,3,3.15,0,2,30,8,0,0.4583864579638338,0.5416135420361662
2024,Pebble Beach Golf Links,1,18,5,4.925,1,15,16,3,4,0.49260659617415253,0.5073934038258474
2025,Pebble Beach Golf Links,4,1,4,4.0,0,11,56,11,0,0.5788975318639084,0.42110246813609165
2025,Pebble Beach Golf Links,4,2,5,4.449,3,44,26,3,2,0.6326304029218016,0.3673695970781984
2025,Pebble Beach Golf Links,4,3,4,4.077,0,5,63,9,1,0.5768486713377033,0.42315132866229666
2025,Pebble Beach Golf Links,4,4,4,3.692,0,27,48,3,0,0.4548035576763597,0.5451964423236403
2025,Pebble Beach Golf Links,4,5,3,3.038,0,11,53,14,0,0.5634758381821559,0.43652416181784415
2025,Pebble Beach Golf Links,4,6,5,4.769,0,31,37,7,3,0.3327419042394861,0.6672580957605139
2025,Pebble Beach Golf Links,4,7,3,2.872,0,16,56,6,0,0.5943748498582627,0.4056251501417373
2025,Pebble Beach Golf Links,4,8,4,4.167,0,8,50,19,1,0.5030213040205828,0.49697869597941724
2025,Pebble Beach Golf Links,4,9,4,4.167,0,8,51,17,2,0.47592609670560765,0.5240739032943924
2025,Pebble Beach Golf Links,4,10,4,4.154,0,10,47,20,1,0.4781966334721283,0.5218033665278716
2025,Pebble Beach Golf Links,4,11,4,3.744,0,26,46,6,0,0.5311806794040217,0.4688193205959783
2025,Pebble Beach Golf Links,4,12,3,2.872,0,19,50,9,0,0.5100882536582372,0.4899117463417628
2025,Pebble Beach Golf Links,4,13,4,3.859,0,15,59,4,0,0.5080481975963426,0.49195180240365743
2025,Pebble Beach Golf Links,4,14,5,4.474,2,44,25,7,0,0.49607282742207726,0.5039271725779227
